tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
Yes,No,I don't know,No,Yes,Yes,Possibly,5,27.0,Female,United Kingdom
Yes,Yes,No,No,Yes,Yes,Possibly,4,31.0,Male,United Kingdom
Yes,I don't know,No,Yes,Yes,No,Yes,5,36.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,22.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,36.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,3,38.0,Female,United States of America
No,Yes,No,Yes,Yes,Yes,Yes,2,40.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,10,35.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,3,22.0,Female,United States of America
No,Yes,I don't know,No,No,Yes,Yes,9,28.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Possibly,8,21.0,Male,Germany
No,I don't know,I don't know,No,No,Yes,Don't Know,7,35.0,Female,United Kingdom
Yes,No,No,No,No,Yes,Possibly,3,22.0,Male,United Kingdom
No,I don't know,No,Yes,Yes,Yes,Yes,10,37.0,Female,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,5,25.0,Male,United Kingdom
Yes,No,No,No,No,Yes,Don't Know,5,40.0,Male,Canada
No,Yes,I don't know,No,No,Yes,Yes,8,66.0,Female,United States of America
No,Yes,No,No,Yes,Yes,Yes,4,31.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Yes,9,32.0,Male,Canada
Yes,Yes,No,No,No,Yes,Yes,7,30.0,Female,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,10,31.0,Male,United States of America
No,No,I don't know,No,No,Yes,Yes,10,28.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,25.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,7,35.0,Male,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Possibly,8,40.0,Male,United States of America
No,I don't know,I don't know,Yes,Yes,No,Yes,6,32.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,1,39.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,4,33.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,8,40.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,7,42.0,Male,United States of America
No,I don't know,I don't know,Yes,No,Yes,Yes,6,32.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,9,27.0,Female,United States of America
No,I don't know,No,No,No,Yes,Yes,10,39.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,10,42.0,Female,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,10,37.0,Other,Canada
No,I don't know,I don't know,Yes,No,Yes,Yes,6,38.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,6,47.0,Male,United Kingdom
